Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Croatia Street,North,A point 29 metres east of Brock Avenue and a point 55 metres further east,Anytime,"{'dist1': '29', 'dir1': 'east', 'start_intersection': 'Brock Avenue', 'dist2': '55', 'rule_type': 'relative_extension'}"
Dufferin Street,East,A point 15 metres north of Springhurst Avenue and Queen Street West,"Anytime from and including Fri. Aug. 18, 2017 to and including Mon. Sept. 4, 2017","{'distance': '15', 'direction': 'north', 'start_intersection': 'Springhurst Avenue', 'end_intersection': 'Queen Street West', 'rule_type': 'offset_to_intersect'}"
Wells Hill Avenue,East,Nina Street and Lyndhurst Avenue,"Anytime, except Thu., Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Nina Street', 'end_intersection': 'Lyndhurst Avenue', 'rule_type': 'block'}"
Wells Hill Avenue,West,Nina Street and Lyndhurst Avenue,"Each Thu., Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Nina Street', 'end_intersection': 'Lyndhurst Avenue', 'rule_type': 'block'}"
Croatia Street,North,A point 84 metres east of Brock Avenue and a point 165 metres west of Dufferin Street,Anytime,"{'start_intersection': 'A point 84 metres east of Brock Avenue', 'distance': '165', 'direction': 'west', 'offset_intersection': 'Dufferin Street', 'rule_type': 'intersect_to_offset'}"
Croatia Street,North,Brock Avenue and a point 29 metres east,Anytime,"{'start_intersection': 'Brock Avenue', 'distance': '29', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Russell Street,South,Robert Street and Spadina Crescent (west leg),Anytime,"{'start_intersection': 'Robert Street', 'end_intersection': 'Spadina Crescent (west leg)', 'rule_type': 'block'}"
Forest Point Drive,West and South,A point 120 metres north of Buttonwood Avenue and a point 28 metres further north and west,Anytime,"{'distance': '120', 'direction': 'north', 'start_intersection': 'Buttonwood Avenue', 'end_intersection': 'a point 28 metres further north and west', 'rule_type': 'offset_to_intersect'}"
Guestville Avenue,East,Dennis Avenue and a point 43 metres south,"5:01 p.m. of one day to 7:59 a.m. of the next following day, Mon. to Fri.; anytime Sat. and Sun.","{'start_intersection': 'Dennis Avenue', 'distance': '43', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Wells Hill Avenue,East,Austin Terrace and Nina Street,Anytime,"{'start_intersection': 'Austin Terrace', 'end_intersection': 'Nina Street', 'rule_type': 'block'}"
Powell Avenue,West,Dale Avenue and Maple Avenue,"8:00 a.m. to 10:00 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Dale Avenue', 'end_intersection': 'Maple Avenue', 'rule_type': 'block'}"
Croatia Street,South,Brock Avenue and a point 103 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Brock Avenue', 'distance': '103', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Isabella Street,Both,Yonge Street and Gloucester Lane,Anytime,"{'start_intersection': 'Yonge Street', 'end_intersection': 'Gloucester Lane', 'rule_type': 'block'}"
Coneflower Crescent (west branch),East,Antibes Drive (west intersection) and Coneflower Crescent (south branch),Anytime,"{'start_intersection': 'Antibes Drive (west intersection)', 'end_intersection': 'Coneflower Crescent (south branch)', 'rule_type': 'block'}"
Erskine Avenue,North,A point 125 metres east of Yonge Street and a point 46 metres further east,6:00 p.m. of one day to 7:30 a.m. of the next following day Mon. to Fri.; anytime Sat. and Sun.,"{'dist1': '125', 'dir1': 'east', 'start_intersection': 'Yonge Street', 'dist2': '46', 'rule_type': 'relative_extension'}"
Milverton Boulevard,South,Coleridge Avenue (south leg) and a point 15 metres west,"May, Jul., Sep. and Nov.","{'start_intersection': 'Coleridge Avenue (south leg)', 'distance': '15', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Milverton Boulevard,South,A point 15 metres west of Coleridge Avenue (south leg) and a point 15.5 metres further west,Anytime,"{'dist1': '15', 'dir1': 'west', 'start_intersection': 'Coleridge Avenue (south leg)', 'dist2': '15.5', 'rule_type': 'relative_extension'}"
Bathurst Street,West,Robinson Street and Nassau Street,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Robinson Street', 'end_intersection': 'Nassau Street', 'rule_type': 'block'}"
Bathurst Street,West,A point 90.5 metres north of Nassau Street and Lennox Street,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '90.5', 'direction': 'north', 'start_intersection': 'Nassau Street', 'end_intersection': 'Lennox Street', 'rule_type': 'offset_to_intersect'}"
Isabella Street,North,A point 31 metres east of Gloucester Lane and Sherbourne Street,Anytime,"{'distance': '31', 'direction': 'east', 'start_intersection': 'Gloucester Lane', 'end_intersection': 'Sherbourne Street', 'rule_type': 'offset_to_intersect'}"
Cedarvale Avenue,East,Milverton Boulevard and Sammon Avenue,Anytime,"{'start_intersection': 'Milverton Boulevard', 'end_intersection': 'Sammon Avenue', 'rule_type': 'block'}"
Dufferin Street,West,King Street West and Queen Street West,"Anytime from and including Fri. Aug. 18, 2017 to and including Mon. Sept. 4, 2017","{'start_intersection': 'King Street West', 'end_intersection': 'Queen Street West', 'rule_type': 'block'}"
Denison Avenue,West,Queen Street West and Wolseley Street,Anytime,"{'start_intersection': 'Queen Street West', 'end_intersection': 'Wolseley Street', 'rule_type': 'block'}"
Milverton Boulevard,South,A point 30.5 metres west of Coleridge Avenue (south leg) and Woodbine Avenue,"May, Jul., Sep. and Nov.","{'distance': '30.5', 'direction': 'west', 'start_intersection': 'Coleridge Avenue (south leg)', 'end_intersection': 'Woodbine Avenue', 'rule_type': 'offset_to_intersect'}"
Danforth Avenue,North,A point 56.4 metres west of Coxwell Avenue and a point 15.1 metres further west,3:45 p.m. to 4:00 p.m. Mon. to Fri.,"{'dist1': '56.4', 'dir1': 'west', 'start_intersection': 'Coxwell Avenue', 'dist2': '15.1', 'rule_type': 'relative_extension'}"
Cedarvale Avenue,East,Sammon Avenue and Lumsden Avenue,"Jan., Feb., Mar., Apr., June, Aug., Oct. and Dec.","{'start_intersection': 'Sammon Avenue', 'end_intersection': 'Lumsden Avenue', 'rule_type': 'block'}"
Cedarvale Avenue,West,Sammon Avenue and Lumsden Avenue,"May, July, Sept. and Nov.","{'start_intersection': 'Sammon Avenue', 'end_intersection': 'Lumsden Avenue', 'rule_type': 'block'}"
Anndale Drive,South,Bales Avenue and Tradewind Avenue,Anytime,"{'start_intersection': 'Bales Avenue', 'end_intersection': 'Tradewind Avenue', 'rule_type': 'block'}"
Kingston Road,North,A point 131 metres east of Sandown Avenue and a point 238 metres east of Midland Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'A point 131 metres east of Sandown Avenue', 'distance': '238', 'direction': 'east', 'offset_intersection': 'Midland Avenue', 'rule_type': 'intersect_to_offset'}"
Pape Avenue,West,Riverdale Avenue and a point 46.5 metres north,Anytime,"{'start_intersection': 'Riverdale Avenue', 'distance': '46.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Boon Avenue (TO),West,A point 54 metres north of Ascot Avenue and a point 30 metres north of Morrison Avenue,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive, and from the 1st day to the 15th day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'A point 54 metres north of Ascot Avenue', 'distance': '30', 'direction': 'north', 'offset_intersection': 'Morrison Avenue', 'rule_type': 'intersect_to_offset'}"
Temple Avenue,North,Tyndall Avenue and Dufferin Street,"Anytime from and including Fri. Aug. 18, 2017 to and including Mon. Sept. 4, 2017","{'start_intersection': 'Tyndall Avenue', 'end_intersection': 'Dufferin Street', 'rule_type': 'block'}"
Thorburn Avenue,North,Tyndall Avenue and Dufferin Street,"Anytime from and including Fri. Aug. 18, 2017 to and including Mon. Sept. 4, 2017","{'start_intersection': 'Tyndall Avenue', 'end_intersection': 'Dufferin Street', 'rule_type': 'block'}"
Keewatin Avenue,South,A point 72 metres east of Yonge Street and a point 75 metres further east,"12:00 a.m. to 7:30 a.m., 9:00 a.m. to 11:15 a.m., 1:15 p.m. to 3:00 p.m. and 6:00 p.m. to 12:00 a.m., Mon. to Fri.; Anytime, Sat. and Sun.","{'dist1': '72', 'dir1': 'east', 'start_intersection': 'Yonge Street', 'dist2': '75', 'rule_type': 'relative_extension'}"
Kingston Road,North,A point 296 metres east of Midland Avenue and a point 132 metres west of Fenwood Heights,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'A point 296 metres east of Midland Avenue', 'distance': '132', 'direction': 'west', 'offset_intersection': 'Fenwood Heights', 'rule_type': 'intersect_to_offset'}"
Dupont Street,South,A point 77 metres east of Davenport Road and Bedford Road,"7:30 a.m. to 9:30 a.m., Mon. to Fri., except public holidays","{'distance': '77', 'direction': 'east', 'start_intersection': 'Davenport Road', 'end_intersection': 'Bedford Road', 'rule_type': 'offset_to_intersect'}"
Boon Avenue (TO),West,Ascot Avenue and a point 34 metres north,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive, and from the 1st day to the 15th day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Ascot Avenue', 'distance': '34', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Nickle Street,North,A point 15 metres east of Jane Street and Sedan Avenue,Anytime,"{'distance': '15', 'direction': 'east', 'start_intersection': 'Jane Street', 'end_intersection': 'Sedan Avenue', 'rule_type': 'offset_to_intersect'}"
Tyndall Avenue,Both,Springhurst Avenue and Thorburn Avenue,"Anytime from and including Fri. Aug. 18, 2017 to and including Mon. Sept. 4, 2017","{'start_intersection': 'Springhurst Avenue', 'end_intersection': 'Thorburn Avenue', 'rule_type': 'block'}"
Tyndall Avenue,West,Thorburn Avenue and King Street West,"Anytime from and including Fri. Aug. 18, 2017 to and including Mon. Sept. 4, 2017","{'start_intersection': 'Thorburn Avenue', 'end_intersection': 'King Street West', 'rule_type': 'block'}"
Denison Avenue,West,Carr Street and Grange Avenue,Anytime,"{'start_intersection': 'Carr Street', 'end_intersection': 'Grange Avenue', 'rule_type': 'block'}"
Dupont Street,South,A point 48 metres east of Davenport Road and a point 29 metres further east,7:00 p.m. of one day to 7:00 a.m. of the next following day,"{'dist1': '48', 'dir1': 'east', 'start_intersection': 'Davenport Road', 'dist2': '29', 'rule_type': 'relative_extension'}"
Victoria Street (TO),West,Shuter Street and a point 15.2 metres north,Anytime,"{'start_intersection': 'Shuter Street', 'distance': '15.2', 'direction': 'north', 'rule_type': 'perfect_offset'}"
John Street (YK),North,A point 45.7 metres east of South Station Street and the east end of the pedestrian bridge east of South Station Street,Anytime,"{'distance': '45.7', 'direction': 'east', 'start_intersection': 'South Station Street', 'end_intersection': 'the east end of the pedestrian bridge east of South Station Street', 'rule_type': 'offset_to_intersect'}"
John Street (YK),North,Pine Street and the west end of the pedestrian bridge west of Rosemount Avenue,Anytime,"{'start_intersection': 'Pine Street', 'end_intersection': 'the west end of the pedestrian bridge west of Rosemount Avenue', 'rule_type': 'block'}"
Highbourne Road,Both,Tranmer Avenue and College View Avenue,2:00 a.m. to 10:00 a.m.,"{'start_intersection': 'Tranmer Avenue', 'end_intersection': 'College View Avenue', 'rule_type': 'block'}"
Lisgar Street,East,The lane first south of Queen Street West and a point 9 metres further south,Anytime,"{'start_intersection': 'The lane first south of Queen Street West', 'distance': '9', 'direction': 'south', 'rule_type': 'intersect_extension'}"
Precision Road,East,Rexdale Boulevard and a point 210 metres south,Anytime,"{'start_intersection': 'Rexdale Boulevard', 'distance': '210', 'direction': 'south', 'rule_type': 'perfect_offset'}"
John Street (YK),South,A point 30 metres east of Weston Road and the east end of the pedestrian bridge east of South Station Street,Anytime,"{'distance': '30', 'direction': 'east', 'start_intersection': 'Weston Road', 'end_intersection': 'the east end of the pedestrian bridge east of South Station Street', 'rule_type': 'offset_to_intersect'}"
John Street (YK),South,Rosemount Avenue and the west end of the pedestrian bridge west of Rosemount Avenue,Anytime,"{'start_intersection': 'Rosemount Avenue', 'end_intersection': 'the west end of the pedestrian bridge west of Rosemount Avenue', 'rule_type': 'block'}"
Montclair Avenue,North,A point 39 metres east of Spadina Road and the east end of Montclair Avenue,"7:00 a.m. to 10:00 a.m., Mon. to Fri.","{'distance': '39', 'direction': 'east', 'start_intersection': 'Spadina Road', 'end_intersection': 'the east end of Montclair Avenue', 'rule_type': 'offset_to_intersect'}"
Montclair Avenue,North,A point 9 metres east of Spadina Road and a point 13 metres further east,"7:00 a.m. to 10:00 a.m., Mon. to Fri.","{'dist1': '9', 'dir1': 'east', 'start_intersection': 'Spadina Road', 'dist2': '13', 'rule_type': 'relative_extension'}"
Maple Boulevard,North,Second Street and a point 49 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Second Street', 'distance': '49', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Second Street (ET),East,Maple Boulevard and a point 4 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Maple Boulevard', 'distance': '4', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Vitti Street,Both,The south end of Vitti Street and Sheppard Avenue West,Anytime,"{'start_intersection': 'The south end of Vitti Street', 'end_intersection': 'Sheppard Avenue West', 'rule_type': 'block'}"
Lorraine Drive,East,Tolman Street and the north end of Lorraine Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Tolman Street', 'end_intersection': 'the north end of Lorraine Drive', 'rule_type': 'block'}"
Regent Street (TO),East,A point 62.5 metres north of Rogers Road and Aileen Avenue,"From the 1st day of each month to the 15th day of each month from Apr. 1 to Nov. 30, inclusive","{'distance': '62.5', 'direction': 'north', 'start_intersection': 'Rogers Road', 'end_intersection': 'Aileen Avenue', 'rule_type': 'offset_to_intersect'}"
Regent Street (YK),East,Rogers Road and a point 62.5 metres north,Anytime,"{'start_intersection': 'Rogers Road', 'distance': '62.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Montclair Avenue,North,A point 22 metres east of Spadina Road and a point 17 metres further east,Anytime,"{'dist1': '22', 'dir1': 'east', 'start_intersection': 'Spadina Road', 'dist2': '17', 'rule_type': 'relative_extension'}"
Victoria Street (TO),West,A point 37.5 metres north of Shuter Street and a point 24 metres further north,Anytime,"{'dist1': '37.5', 'dir1': 'north', 'start_intersection': 'Shuter Street', 'dist2': '24', 'rule_type': 'relative_extension'}"
Densley Avenue,North,Keele Street and a point 88 metres south of Milford Avenue,Anytime,"{'start_intersection': 'Keele Street', 'distance': '88', 'direction': 'south', 'offset_intersection': 'Milford Avenue', 'rule_type': 'intersect_to_offset'}"
Lorraine Drive,South and east,A point 42.5 metres east of Beecroft Road and Tolman Street,Anytime,"{'distance': '42.5', 'direction': 'east', 'start_intersection': 'Beecroft Road', 'end_intersection': 'Tolman Street', 'rule_type': 'offset_to_intersect'}"
Beverly Hills Drive,South,Jane Street and a point 611 metres west,11:00 p.m. of one day to 6:00 a.m. of the next following day,"{'start_intersection': 'Jane Street', 'distance': '611', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Vanderhoof Avenue,South,Laird Drive and Sutherland Drive,"12:00 p.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Laird Drive', 'end_intersection': 'Sutherland Drive', 'rule_type': 'block'}"
Macaulay Avenue,South,A point 174.2 metres west of Perth Avenue and the west end of Macaulay Avenue,"Mon. to Fri., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive","{'distance': '174.2', 'direction': 'west', 'start_intersection': 'Perth Avenue', 'end_intersection': 'the west end of Macaulay Avenue', 'rule_type': 'offset_to_intersect'}"
Macaulay Avenue,South,Perth Avenue and a point 138.7 metres west,"Mon. to Fri., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Perth Avenue', 'distance': '138.7', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Coneflower Crescent (east branch),West,Antibes Drive (east intersection) and Coneflower Crescent (south branch),Anytime,"{'start_intersection': 'Antibes Drive (east intersection)', 'end_intersection': 'Coneflower Crescent (south branch)', 'rule_type': 'block'}"
Coneflower Crescent (south branch),North,Coneflower Crescent (west branch) and Coneflower Crescent (east branch),Anytime,"{'start_intersection': 'Coneflower Crescent (west branch)', 'end_intersection': 'Coneflower Crescent (east branch)', 'rule_type': 'block'}"
Industrial Street,North,A point 30.5 metres east of Laird Drive and a point 152 metres east of Laird Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri. except public holidays","{'start_intersection': 'A point 30.5 metres east of Laird Drive', 'distance': '152', 'direction': 'east', 'offset_intersection': 'Laird Drive', 'rule_type': 'intersect_to_offset'}"
Industrial Street,North and west,A point 248 metres east of Laird Drive and Commercial Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri. except public holidays","{'distance': '248', 'direction': 'east', 'start_intersection': 'Laird Drive', 'end_intersection': 'Commercial Road', 'rule_type': 'offset_to_intersect'}"
Barse Street,East,Cranbrooke Avenue and the north end of Barse Street,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Cranbrooke Avenue', 'end_intersection': 'the north end of Barse Street', 'rule_type': 'block'}"
Anndale Drive,North,Bales Avenue and Tradewind Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Bales Avenue', 'end_intersection': 'Tradewind Avenue', 'rule_type': 'block'}"
Stonehouse Crescent,North,Dufferin Street and Gladstone Avenue,Anytime,"{'start_intersection': 'Dufferin Street', 'end_intersection': 'Gladstone Avenue', 'rule_type': 'block'}"
Industrial Street,North,A point 152 metres east of Laird Drive and a point 96 metres further east,Anytime,"{'dist1': '152', 'dir1': 'east', 'start_intersection': 'Laird Drive', 'dist2': '96', 'rule_type': 'relative_extension'}"
Eagleview Crescent,Both,Wintermute Boulevard (north intersection) and a point 131 metres west,Anytime,"{'start_intersection': 'Wintermute Boulevard (north intersection)', 'distance': '131', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Queen Street East,South,Kippendavie Avenue and a point 65.6 metres east,Anytime,"{'start_intersection': 'Kippendavie Avenue', 'distance': '65.6', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Lansdowne Avenue,East,Wallace Avenue and a point 93 metres north,Anytime,"{'start_intersection': 'Wallace Avenue', 'distance': '93', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Lansdowne Avenue,West,Bloor Street West and Wade Avenue,Anytime,"{'start_intersection': 'Bloor Street West', 'end_intersection': 'Wade Avenue', 'rule_type': 'block'}"
Spadina Crescent West,West,The northerly limit of Spadina Crescent West and a point 80.5 metres north of Russell Street,Anytime,"{'start_intersection': 'The northerly limit of Spadina Crescent West', 'distance': '80.5', 'direction': 'north', 'offset_intersection': 'Russell Street', 'rule_type': 'intersect_to_offset'}"
Lansdowne Avenue,Both,Dupont Street and Brandon Avenue,Anytime,"{'start_intersection': 'Dupont Street', 'end_intersection': 'Brandon Avenue', 'rule_type': 'block'}"
Hendon Avenue,South,Greenview Avenue and a point 40 metres west,Anytime,"{'start_intersection': 'Greenview Avenue', 'distance': '40', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Wincott Drive,West,Dixon Road and a point 67 metres south,Anytime,"{'start_intersection': 'Dixon Road', 'distance': '67', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Laughton Avenue,East,A point 38 metres north of Davenport Road and a point 6 metres further north,Anytime,"{'dist1': '38', 'dir1': 'north', 'start_intersection': 'Davenport Road', 'dist2': '6', 'rule_type': 'relative_extension'}"
Enterprise Road,South,Martin Grove Road and a point 60 metres east,Anytime,"{'start_intersection': 'Martin Grove Road', 'distance': '60', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Enterprise Road,South,A point 125 metres east of Martin Grove Road and a point 225 metres further east,Anytime,"{'dist1': '125', 'dir1': 'east', 'start_intersection': 'Martin Grove Road', 'dist2': '225', 'rule_type': 'relative_extension'}"
Laughton Avenue,East,Davenport Road and a point 15 metres north,Anytime,"{'start_intersection': 'Davenport Road', 'distance': '15', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Spadina Crescent East,East,A point 73.5 metres south of Russell Street and the southerly limit of Spadina Crescent East,Anytime,"{'distance': '73.5', 'direction': 'south', 'start_intersection': 'Russell Street', 'end_intersection': 'the southerly limit of Spadina Crescent East', 'rule_type': 'offset_to_intersect'}"
Spadina Crescent East,East,A point 76.5 metres north of Russell Street and the northerly limit of Spadina Crescent East,Anytime,"{'distance': '76.5', 'direction': 'north', 'start_intersection': 'Russell Street', 'end_intersection': 'the northerly limit of Spadina Crescent East', 'rule_type': 'offset_to_intersect'}"
Isaac Devins Boulevard,North and East,A point 64 metres east of Abraham Welsh Road and a point 21 metres further southeast,Anytime,"{'distance': '64', 'direction': 'east', 'start_intersection': 'Abraham Welsh Road', 'end_intersection': 'a point 21 metres further southeast', 'rule_type': 'offset_to_intersect'}"
Northcliffe Boulevard,East,A point 50 metres south of St. Clair Avenue West and a point 20 metres further south,Anytime,"{'dist1': '50', 'dir1': 'south', 'start_intersection': 'St. Clair Avenue West', 'dist2': '20', 'rule_type': 'relative_extension'}"
Tolman Street,North,A point 15 metres west of Yonge Street and a point 22 metres further west,Anytime (car-share vehicles excepted),"{'dist1': '15', 'dir1': 'west', 'start_intersection': 'Yonge Street', 'dist2': '22', 'rule_type': 'relative_extension'}"
Junction Road,South,Cawthra Avenue and Old Weston Road,Anytime,"{'start_intersection': 'Cawthra Avenue', 'end_intersection': 'Old Weston Road', 'rule_type': 'block'}"
Danesbury Avenue (NY),East,A point 15 metres south of Hillmount Avenue and a point 168 metres south of Hillmount Avenue,"4:00 p.m. of one day to 8:00 a.m. of the next following day, Mon. to Fri.","{'start_intersection': 'A point 15 metres south of Hillmount Avenue', 'distance': '168', 'direction': 'south', 'offset_intersection': 'Hillmount Avenue', 'rule_type': 'intersect_to_offset'}"
Spadina Crescent East,East,Russell Street and a point 57.5 metres south,Anytime,"{'start_intersection': 'Russell Street', 'distance': '57.5', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Forest Glen Crescent,North,Doncliffe Place and the easterly north-south branch of Forest Glen Crescent,Anytime,"{'start_intersection': 'Doncliffe Place', 'end_intersection': 'the easterly north-south branch of Forest Glen Crescent', 'rule_type': 'block'}"
Forest Glen Crescent,South,The easterly north-south branch of Forest Glen Crescent and a point 15 metres west,Anytime,"{'start_intersection': 'The easterly north-south branch of Forest Glen Crescent', 'distance': '15', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Tolman Street,North,Yonge Street and a point 15 metres west,Anytime,"{'start_intersection': 'Yonge Street', 'distance': '15', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Treadgold Crescent (east/west branch),North,Walingford Road and a point 90 metres east,Anytime,"{'start_intersection': 'Walingford Road', 'distance': '90', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Greenfield Avenue,North,A point 37 metres west of Doris Avenue and a point 70 metres further west,7:00 a.m. to 11:00 p.m.,"{'dist1': '37', 'dir1': 'west', 'start_intersection': 'Doris Avenue', 'dist2': '70', 'rule_type': 'relative_extension'}"
Mildenhall Road (NY),East,St. Leonard's Avenue and Rochester Avenue,Anytime,"{'start_intersection': ""St. Leonard's Avenue"", 'end_intersection': 'Rochester Avenue', 'rule_type': 'block'}"
Avenue Road,East,Eglinton Avenue West and a point 30.5 metres south of Burnaby Boulevard,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Eglinton Avenue West', 'distance': '30.5', 'direction': 'south', 'offset_intersection': 'Burnaby Boulevard', 'rule_type': 'intersect_to_offset'}"
Blackthorn Avenue,East,St. Clair Avenue West and Rowntree Avenue,Anytime,"{'start_intersection': 'St. Clair Avenue West', 'end_intersection': 'Rowntree Avenue', 'rule_type': 'block'}"
Ridgefield Road,Both,Blythwood Road and the south end of Ridgefield Road,"7:00 a.m. to 6:30 p.m., Mon. to Fri.","{'start_intersection': 'Blythwood Road', 'end_intersection': 'the south end of Ridgefield Road', 'rule_type': 'block'}"
Castlefield Avenue,North,A point 36.5 metres east of Avenue Road and Yonge Street,Anytime,"{'distance': '36.5', 'direction': 'east', 'start_intersection': 'Avenue Road', 'end_intersection': 'Yonge Street', 'rule_type': 'offset_to_intersect'}"
Treadgold Crescent (circular branch),Inside Perimeter,Entire length,Anytime,{'rule_type': 'entire_length'}
Prudential Drive,North and east,A point 150 metres west of Midland Avenue and a point 118 metres further west and north,Anytime,"{'distance': '150', 'direction': 'west', 'start_intersection': 'Midland Avenue', 'end_intersection': 'a point 118 metres further west and north', 'rule_type': 'offset_to_intersect'}"
Mildenhall Road (NY),East,Stratheden Road and St. Leonard's Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Stratheden Road', 'end_intersection': ""St. Leonard's Avenue"", 'rule_type': 'block'}"
Mildenhall Road (NY),West,Stratheden Road and Lawrence Avenue East,Anytime,"{'start_intersection': 'Stratheden Road', 'end_intersection': 'Lawrence Avenue East', 'rule_type': 'block'}"
Chestnut Hills Parkway,Both,Chestnut Hills Crescent and Finchley Road,"9:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Chestnut Hills Crescent', 'end_intersection': 'Finchley Road', 'rule_type': 'block'}"
Ashtonbee Road,North,A point 654.5 metres east of Pharmacy Avenue and Warden Avenue,Anytime,"{'distance': '654.5', 'direction': 'east', 'start_intersection': 'Pharmacy Avenue', 'end_intersection': 'Warden Avenue', 'rule_type': 'offset_to_intersect'}"
Ashtonbee Road,South,Hakimi Avenue and Warden Avenue,Anytime,"{'start_intersection': 'Hakimi Avenue', 'end_intersection': 'Warden Avenue', 'rule_type': 'block'}"
Carus Avenue,North,Ossington Avenue and the east end of Carus Avenue,"Anytime from the 16th day to the last day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Ossington Avenue', 'end_intersection': 'the east end of Carus Avenue', 'rule_type': 'block'}"
Grangemill Crescent (north-south leg),East,Rippleton Road and Grangemill Crescent (east-west leg),"8:00 a.m. to 9:00 a.m. and 3:00 p.m. to 4:00 p.m., Mon. to Fri.","{'start_intersection': 'Rippleton Road', 'end_intersection': 'Grangemill Crescent (east-west leg)', 'rule_type': 'block'}"
Bruyeres Mews,Both,Grand Magazine Street and Iannuzzi Street,Anytime,"{'start_intersection': 'Grand Magazine Street', 'end_intersection': 'Iannuzzi Street', 'rule_type': 'block'}"
Wexford Boulevard,West,A point 52 metres south of Lawrence Avenue East and a point 34 metres further south,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'dist1': '52', 'dir1': 'south', 'start_intersection': 'Lawrence Avenue East', 'dist2': '34', 'rule_type': 'relative_extension'}"
Amroth Avenue,East,Oakcrest Avenue and a point 39.2 metres south of Danforth Avenue,Anytime,"{'start_intersection': 'Oakcrest Avenue', 'distance': '39.2', 'direction': 'south', 'offset_intersection': 'Danforth Avenue', 'rule_type': 'intersect_to_offset'}"
Roxborough Street East,South,A point 49.6 metres east of Yonge Street and Chestnut Park (east intersection),"8:00 a.m. to 10:00 a.m., Mon. to Fri.","{'distance': '49.6', 'direction': 'east', 'start_intersection': 'Yonge Street', 'end_intersection': 'Chestnut Park (east intersection)', 'rule_type': 'offset_to_intersect'}"
Margueretta Street,West,A point 76.2 metres north of Bloor Street West (east intersection) and Wallace Avenue,Anytime,"{'distance': '76.2', 'direction': 'north', 'start_intersection': 'Bloor Street West (east intersection)', 'end_intersection': 'Wallace Avenue', 'rule_type': 'offset_to_intersect'}"
Kingsmount Park Road,West,Duvernet Avenue and Fairmount Crescent,Anytime,"{'start_intersection': 'Duvernet Avenue', 'end_intersection': 'Fairmount Crescent', 'rule_type': 'block'}"
